CraneNO,OrderNO,RecTime,CurX,CurY,CurZ,
crane1-3,-1,0.0,220000.0,3000.0,6000.0,
crane1-3,9,1.0,221500.0,3200.0,5900.0,
crane1-3,9,2.0,223000.0,3400.0,5800.0,
crane1-3,9,3.0,224500.0,3600.0,5700.0,
crane1-3,9,4.0,226000.0,3622.0,5600.0,
crane1-3,9,5.0,227500.0,3622.0,5500.0,
crane1-3,9,6.0,229000.0,3622.0,5400.0,
crane1-3,9,7.0,230500.0,3622.0,5300.0,
crane1-3,9,8.0,232000.0,3622.0,5200.0,
crane1-3,9,9.0,233500.0,3622.0,5100.0,
crane1-3,9,10.0,235000.0,3622.0,5000.0,
crane1-3,9,11.0,236500.0,3622.0,4900.0,
crane1-3,9,12.0,238000.0,3622.0,4800.0,
crane1-3,9,13.0,239500.0,3622.0,4700.0,
crane1-3,9,14.0,241000.0,3622.0,4600.0,
crane1-3,9,15.0,242500.0,3622.0,4500.0,
crane1-3,9,16.0,244000.0,3622.0,4400.0,
crane1-3,9,17.0,245500.0,3622.0,4300.0,
crane1-3,9,18.0,247000.0,3622.0,4200.0,
crane1-3,9,19.0,248500.0,3622.0,4100.0,
crane1-3,9,20.0,250000.0,3622.0,4000.0,
crane1-3,9,21.0,251500.0,3622.0,3900.0,
crane1-3,9,22.0,253000.0,3622.0,3800.0,
crane1-3,9,23.0,254500.0,3622.0,3700.0,
crane1-3,9,24.0,256000.0,3622.0,3600.0,
crane1-3,9,25.0,257500.0,3622.0,3500.0,
crane1-3,9,26.0,259000.0,3622.0,3400.0,
crane1-3,9,27.0,260399.0,3622.0,3300.0,
crane1-3,9,28.0,260399.0,3622.0,3200.0,
crane1-3,9,29.0,260399.0,3622.0,3100.0,
crane1-3,9,30.0,260399.0,3622.0,3000.0,
crane1-3,9,31.0,260399.0,3622.0,2900.0,
crane1-3,9,32.0,260399.0,3622.0,2800.0,
crane1-3,9,33.0,260399.0,3622.0,2700.0,
crane1-3,9,34.0,260399.0,3622.0,2600.0,
crane1-3,9,35.0,260399.0,3622.0,2500.0,
crane1-3,9,36.0,260399.0,3622.0,2400.0,
crane1-3,9,37.0,260399.0,3622.0,2300.0,
crane1-3,9,38.0,260399.0,3622.0,2200.0,
crane1-3,9,39.0,260399.0,3622.0,2100.0,
crane1-3,9,40.0,260399.0,3622.0,2000.0,
crane1-3,9,41.0,260399.0,3622.0,1900.0,
crane1-3,9,42.0,260399.0,3622.0,1800.0,
crane1-3,9,43.0,260399.0,3622.0,1700.0,
crane1-3,9,44.0,260399.0,3622.0,1600.0,
crane1-3,9,45.0,260399.0,3622.0,1500.0,
crane1-3,9,46.0,260399.0,3622.0,1400.0,
crane1-3,9,47.0,260399.0,3622.0,1300.0,
crane1-3,9,48.0,260399.0,3622.0,1200.0,
crane1-3,9,49.0,260399.0,3622.0,1100.0,
crane1-3,9,50.0,260399.0,3622.0,1000.0,
crane1-3,9,51.0,260399.0,3622.0,1100.0,
crane1-3,9,52.0,260399.0,3622.0,1200.0,
crane1-3,9,53.0,260399.0,3622.0,1300.0,
crane1-3,9,54.0,260399.0,3622.0,1400.0,
crane1-3,9,55.0,260399.0,3622.0,1500.0,
crane1-3,9,56.0,260399.0,3622.0,1600.0,
crane1-3,9,57.0,260399.0,3622.0,1700.0,
crane1-3,9,58.0,260399.0,3622.0,1800.0,
crane1-3,9,59.0,260399.0,3622.0,1900.0,
crane1-3,9,60.0,260399.0,3622.0,2000.0,
crane1-3,9,61.0,260399.0,3622.0,2100.0,
crane1-3,9,62.0,260399.0,3622.0,2200.0,
crane1-3,9,63.0,260399.0,3622.0,2300.0,
crane1-3,9,64.0,260399.0,3622.0,2400.0,
crane1-3,9,65.0,260399.0,3622.0,2500.0,
crane1-3,9,66.0,260399.0,3622.0,2600.0,
crane1-3,9,67.0,260399.0,3622.0,2700.0,
crane1-3,9,68.0,260399.0,3622.0,2800.0,
crane1-3,9,69.0,260399.0,3622.0,2900.0,
crane1-3,9,70.0,260399.0,3622.0,3000.0,
crane1-3,9,71.0,260399.0,3622.0,3100.0,
crane1-3,9,72.0,260399.0,3622.0,3200.0,
crane1-3,9,73.0,260399.0,3622.0,3300.0,
crane1-3,9,74.0,260399.0,3622.0,3400.0,
crane1-3,9,75.0,260399.0,3622.0,3500.0,
crane1-3,9,76.0,260399.0,3622.0,3600.0,
crane1-3,9,77.0,260399.0,3622.0,3700.0,
crane1-3,9,78.0,260399.0,3622.0,3800.0,
crane1-3,9,79.0,260399.0,3622.0,3900.0,
crane1-3,9,80.0,260399.0,3622.0,4000.0,
crane1-3,9,81.0,260399.0,3622.0,4100.0,
crane1-3,9,82.0,260399.0,3622.0,4200.0,
crane1-3,9,83.0,260399.0,3622.0,4300.0,
crane1-3,9,84.0,260399.0,3622.0,4400.0,
crane1-3,9,85.0,260399.0,3622.0,4500.0,
crane1-3,9,86.0,260399.0,3622.0,4600.0,
crane1-3,9,87.0,260399.0,3622.0,4700.0,
crane1-3,9,88.0,260399.0,3622.0,4800.0,
crane1-3,9,89.0,260399.0,3622.0,4900.0,
crane1-3,9,90.0,260399.0,3622.0,5000.0,
crane1-3,9,91.0,260399.0,3622.0,5100.0,
crane1-3,9,92.0,260399.0,3622.0,5200.0,
crane1-3,9,93.0,260399.0,3622.0,5300.0,
crane1-3,9,94.0,260399.0,3622.0,5400.0,
crane1-3,9,95.0,260399.0,3622.0,5500.0,
crane1-3,9,96.0,260399.0,3622.0,5600.0,
crane1-3,9,97.0,260399.0,3622.0,5700.0,
crane1-3,9,98.0,260399.0,3622.0,5800.0,
crane1-3,9,99.0,260399.0,3622.0,5900.0,
crane1-3,9,100.0,260399.0,3622.0,6000.0,
crane1-3,9,101.0,258899.0,3822.0,5900.0,
crane1-3,9,102.0,257399.0,4022.0,5800.0,
crane1-3,9,103.0,257399.0,4222.0,5700.0,
crane1-3,9,104.0,257399.0,4422.0,5600.0,
crane1-3,9,105.0,257399.0,4622.0,5500.0,
crane1-3,9,106.0,257399.0,4822.0,5400.0,
crane1-3,9,107.0,257399.0,5022.0,5300.0,
crane1-3,9,108.0,257399.0,5222.0,5200.0,
crane1-3,9,109.0,257399.0,5422.0,5100.0,
crane1-3,9,110.0,257399.0,5622.0,5000.0,
crane1-3,9,111.0,257399.0,5822.0,4900.0,
crane1-3,9,112.0,257399.0,6022.0,4800.0,
crane1-3,9,113.0,257399.0,6222.0,4700.0,
crane1-3,9,114.0,257399.0,6422.0,4600.0,
crane1-3,9,115.0,257399.0,6622.0,4500.0,
crane1-3,9,116.0,257399.0,6822.0,4400.0,
crane1-3,9,117.0,257399.0,7022.0,4300.0,
crane1-3,9,118.0,257399.0,7222.0,4200.0,
crane1-3,9,119.0,257399.0,7422.0,4100.0,
crane1-3,9,120.0,257399.0,7622.0,4000.0,
crane1-3,9,121.0,257399.0,7822.0,3900.0,
crane1-3,9,122.0,257399.0,8022.0,3800.0,
crane1-3,9,123.0,257399.0,8222.0,3700.0,
crane1-3,9,124.0,257399.0,8422.0,3600.0,
crane1-3,9,125.0,257399.0,8622.0,3500.0,
crane1-3,9,126.0,257399.0,8822.0,3400.0,
crane1-3,9,127.0,257399.0,9022.0,3300.0,
crane1-3,9,128.0,257399.0,9222.0,3200.0,
crane1-3,9,129.0,257399.0,9422.0,3100.0,
crane1-3,9,130.0,257399.0,9622.0,3000.0,
crane1-3,9,131.0,257399.0,9622.0,2900.0,
crane1-3,9,132.0,257399.0,9622.0,2800.0,
crane1-3,9,133.0,257399.0,9622.0,2700.0,
crane1-3,9,134.0,257399.0,9622.0,2600.0,
crane1-3,9,135.0,257399.0,9622.0,2500.0,
crane1-3,9,136.0,257399.0,9622.0,2400.0,
crane1-3,9,137.0,257399.0,9622.0,2300.0,
crane1-3,9,138.0,257399.0,9622.0,2200.0,
crane1-3,9,139.0,257399.0,9622.0,2100.0,
crane1-3,9,140.0,257399.0,9622.0,2000.0,
crane1-3,9,141.0,257399.0,9622.0,1900.0,
crane1-3,9,142.0,257399.0,9622.0,1800.0,
crane1-3,9,143.0,257399.0,9622.0,1700.0,
crane1-3,9,144.0,257399.0,9622.0,1600.0,
crane1-3,9,145.0,257399.0,9622.0,1500.0,
crane1-3,9,146.0,257399.0,9622.0,1400.0,
crane1-3,9,147.0,257399.0,9622.0,1300.0,
crane1-3,9,148.0,257399.0,9622.0,1200.0,
crane1-3,9,149.0,257399.0,9622.0,1100.0,
crane1-3,9,150.0,257399.0,9622.0,1000.0,
crane1-3,9,151.0,257399.0,9622.0,1000.0,
crane1-3,9,152.0,255899.0,9622.0,1000.0,
crane1-3,9,153.0,254399.0,9622.0,1000.0,
crane1-3,9,154.0,252899.0,9622.0,1000.0,
crane1-3,9,155.0,251399.0,9622.0,1000.0,
crane1-3,9,156.0,250399.0,9622.0,1000.0,
crane1-3,9,157.0,250399.0,9622.0,1100.0,
crane1-3,9,158.0,250399.0,9622.0,1200.0,
crane1-3,9,159.0,250399.0,9622.0,1300.0,
crane1-3,9,160.0,250399.0,9622.0,1400.0,
crane1-3,9,161.0,250399.0,9622.0,1500.0,
crane1-3,9,162.0,250399.0,9622.0,1600.0,
crane1-3,9,163.0,250399.0,9622.0,1700.0,
crane1-3,9,164.0,250399.0,9622.0,1800.0,
crane1-3,9,165.0,250399.0,9622.0,1900.0,
crane1-3,9,166.0,250399.0,9622.0,2000.0,
crane1-3,9,167.0,250399.0,9622.0,2100.0,
crane1-3,9,168.0,250399.0,9622.0,2200.0,
crane1-3,9,169.0,250399.0,9622.0,2300.0,
crane1-3,9,170.0,250399.0,9622.0,2400.0,
crane1-3,9,171.0,250399.0,9622.0,2500.0,
crane1-3,9,172.0,250399.0,9622.0,2600.0,
crane1-3,9,173.0,250399.0,9622.0,2700.0,
crane1-3,9,174.0,250399.0,9622.0,2800.0,
crane1-3,9,175.0,250399.0,9622.0,2900.0,
crane1-3,9,176.0,250399.0,9622.0,3000.0,
crane1-3,9,177.0,250399.0,9622.0,3100.0,
crane1-3,9,178.0,250399.0,9622.0,3200.0,
crane1-3,9,179.0,250399.0,9622.0,3300.0,
crane1-3,9,180.0,250399.0,9622.0,3400.0,
crane1-3,9,181.0,250399.0,9622.0,3500.0,
crane1-3,9,182.0,250399.0,9622.0,3600.0,
crane1-3,9,183.0,250399.0,9622.0,3700.0,
crane1-3,9,184.0,250399.0,9622.0,3800.0,
crane1-3,9,185.0,250399.0,9622.0,3900.0,
crane1-3,9,186.0,250399.0,9622.0,4000.0,
crane1-3,9,187.0,250399.0,9622.0,4100.0,
crane1-3,9,188.0,250399.0,9622.0,4200.0,
crane1-3,9,189.0,250399.0,9622.0,4300.0,
crane1-3,9,190.0,250399.0,9622.0,4400.0,
crane1-3,9,191.0,250399.0,9622.0,4500.0,
crane1-3,9,192.0,250399.0,9622.0,4600.0,
crane1-3,9,193.0,250399.0,9622.0,4700.0,
crane1-3,9,194.0,250399.0,9622.0,4800.0,
crane1-3,9,195.0,250399.0,9622.0,4900.0,
crane1-3,9,196.0,250399.0,9622.0,5000.0,
crane1-3,9,197.0,250399.0,9622.0,5100.0,
crane1-3,9,198.0,250399.0,9622.0,5200.0,
crane1-3,9,199.0,250399.0,9622.0,5300.0,
crane1-3,9,200.0,250399.0,9622.0,5400.0,
crane1-3,9,201.0,250399.0,9622.0,5500.0,
crane1-3,9,202.0,250399.0,9622.0,5600.0,
crane1-3,9,203.0,250399.0,9622.0,5700.0,
crane1-3,9,204.0,250399.0,9622.0,5800.0,
crane1-3,9,205.0,250399.0,9622.0,5900.0,
crane1-3,9,206.0,250399.0,9622.0,6000.0,
crane1-3,-1,207.0,251899.0,9622.0,6000.0,
crane1-3,-1,208.0,253399.0,9622.0,6000.0,
crane1-3,-1,209.0,254899.0,9622.0,6000.0,
crane1-3,-1,210.0,256399.0,9622.0,6000.0,
crane1-3,-1,211.0,257899.0,9622.0,6000.0,
crane1-3,-1,212.0,259399.0,9622.0,6000.0,
crane1-3,-1,213.0,260899.0,9622.0,6000.0,
crane1-3,-1,214.0,262399.0,9622.0,6000.0,
crane1-3,-1,215.0,263899.0,9622.0,6000.0,
crane1-3,-1,216.0,265399.0,9622.0,6000.0,
crane1-3,-1,217.0,266899.0,9622.0,6000.0,
crane1-3,-1,218.0,268399.0,9622.0,6000.0,
crane1-3,-1,219.0,269899.0,9622.0,6000.0,
crane1-3,-1,220.0,271399.0,9622.0,6000.0,
