CraneNO,OrderNO,RecTime,CurX,CurY,CurZ,
crane1-2,-1,0.0,80000.0,3000.0,6000.0,
crane1-2,8,1.0,81500.0,3200.0,5900.0,
crane1-2,8,2.0,83000.0,3400.0,5800.0,
crane1-2,8,3.0,84500.0,3600.0,5700.0,
crane1-2,8,4.0,86000.0,3800.0,5600.0,
crane1-2,8,5.0,87500.0,4000.0,5500.0,
crane1-2,8,6.0,89000.0,4200.0,5400.0,
crane1-2,8,7.0,90500.0,4400.0,5300.0,
crane1-2,8,8.0,92000.0,4600.0,5200.0,
crane1-2,8,9.0,93500.0,4622.0,5100.0,
crane1-2,8,10.0,95000.0,4622.0,5000.0,
crane1-2,8,11.0,96500.0,4622.0,4900.0,
crane1-2,8,12.0,98000.0,4622.0,4800.0,
crane1-2,8,13.0,99500.0,4622.0,4700.0,
crane1-2,8,14.0,101000.0,4622.0,4600.0,
crane1-2,8,15.0,102500.0,4622.0,4500.0,
crane1-2,8,16.0,104000.0,4622.0,4400.0,
crane1-2,8,17.0,105500.0,4622.0,4300.0,
crane1-2,8,18.0,107000.0,4622.0,4200.0,
crane1-2,8,19.0,108500.0,4622.0,4100.0,
crane1-2,8,20.0,110000.0,4622.0,4000.0,
crane1-2,8,21.0,111500.0,4622.0,3900.0,
crane1-2,8,22.0,113000.0,4622.0,3800.0,
crane1-2,8,23.0,114500.0,4622.0,3700.0,
crane1-2,8,24.0,116000.0,4622.0,3600.0,
crane1-2,8,25.0,117500.0,4622.0,3500.0,
crane1-2,8,26.0,119000.0,4622.0,3400.0,
crane1-2,8,27.0,120500.0,4622.0,3300.0,
crane1-2,8,28.0,122000.0,4622.0,3200.0,
crane1-2,8,29.0,123500.0,4622.0,3100.0,
crane1-2,8,30.0,125000.0,4622.0,3000.0,
crane1-2,8,31.0,126500.0,4622.0,2900.0,
crane1-2,8,32.0,128000.0,4622.0,2800.0,
crane1-2,8,33.0,129500.0,4622.0,2700.0,
crane1-2,8,34.0,131000.0,4622.0,2600.0,
crane1-2,8,35.0,132500.0,4622.0,2500.0,
crane1-2,8,36.0,134000.0,4622.0,2400.0,
crane1-2,8,37.0,135500.0,4622.0,2300.0,
crane1-2,8,38.0,137000.0,4622.0,2200.0,
crane1-2,8,39.0,138500.0,4622.0,2100.0,
crane1-2,8,40.0,140000.0,4622.0,2000.0,
crane1-2,8,41.0,141500.0,4622.0,1900.0,
crane1-2,8,42.0,143000.0,4622.0,1800.0,
crane1-2,8,43.0,144500.0,4622.0,1700.0,
crane1-2,8,44.0,146000.0,4622.0,1600.0,
crane1-2,8,45.0,147500.0,4622.0,1500.0,
crane1-2,8,46.0,149000.0,4622.0,1400.0,
crane1-2,8,47.0,150500.0,4622.0,1300.0,
crane1-2,8,48.0,152000.0,4622.0,1200.0,
crane1-2,8,49.0,153500.0,4622.0,1100.0,
crane1-2,8,50.0,155000.0,4622.0,1000.0,
crane1-2,8,51.0,156500.0,4622.0,1000.0,
crane1-2,8,52.0,158000.0,4622.0,1000.0,
crane1-2,8,53.0,159500.0,4622.0,1000.0,
crane1-2,8,54.0,161000.0,4622.0,1000.0,
crane1-2,8,55.0,162500.0,4622.0,1000.0,
crane1-2,8,56.0,164000.0,4622.0,1000.0,
crane1-2,8,57.0,165500.0,4622.0,1000.0,
crane1-2,8,58.0,167000.0,4622.0,1000.0,
crane1-2,8,59.0,168500.0,4622.0,1000.0,
crane1-2,8,60.0,170000.0,4622.0,1000.0,
crane1-2,8,61.0,171500.0,4622.0,1000.0,
crane1-2,8,62.0,173000.0,4622.0,1000.0,
crane1-2,8,63.0,174500.0,4622.0,1000.0,
crane1-2,8,64.0,176000.0,4622.0,1000.0,
crane1-2,8,65.0,177500.0,4622.0,1000.0,
crane1-2,8,66.0,179000.0,4622.0,1000.0,
crane1-2,8,67.0,180500.0,4622.0,1000.0,
crane1-2,8,68.0,182000.0,4622.0,1000.0,
crane1-2,8,69.0,183500.0,4622.0,1000.0,
crane1-2,8,70.0,185000.0,4622.0,1000.0,
crane1-2,8,71.0,186500.0,4622.0,1000.0,
crane1-2,8,72.0,188000.0,4622.0,1000.0,
crane1-2,8,73.0,189500.0,4622.0,1000.0,
crane1-2,8,74.0,191000.0,4622.0,1000.0,
crane1-2,8,75.0,192500.0,4622.0,1000.0,
crane1-2,8,76.0,194000.0,4622.0,1000.0,
crane1-2,8,77.0,195500.0,4622.0,1000.0,
crane1-2,8,78.0,197000.0,4622.0,1000.0,
crane1-2,8,79.0,198500.0,4622.0,1000.0,
crane1-2,8,80.0,200000.0,4622.0,1000.0,
crane1-2,8,81.0,201500.0,4622.0,1000.0,
crane1-2,8,82.0,203000.0,4622.0,1000.0,
crane1-2,8,83.0,204500.0,4622.0,1000.0,
crane1-2,8,84.0,206000.0,4622.0,1000.0,
crane1-2,8,85.0,207500.0,4622.0,1000.0,
crane1-2,8,86.0,209000.0,4622.0,1000.0,
crane1-2,8,87.0,210500.0,4622.0,1000.0,
crane1-2,8,88.0,212000.0,4622.0,1000.0,
crane1-2,8,89.0,213500.0,4622.0,1000.0,
crane1-2,8,90.0,215000.0,4622.0,1000.0,
crane1-2,8,91.0,216500.0,4622.0,1000.0,
crane1-2,8,92.0,218000.0,4622.0,1000.0,
crane1-2,8,93.0,219500.0,4622.0,1000.0,
crane1-2,8,94.0,221000.0,4622.0,1000.0,
crane1-2,8,95.0,222500.0,4622.0,1000.0,
crane1-2,8,96.0,224000.0,4622.0,1000.0,
crane1-2,8,97.0,225500.0,4622.0,1000.0,
crane1-2,8,98.0,227000.0,4622.0,1000.0,
crane1-2,8,99.0,228500.0,4622.0,1000.0,
crane1-2,8,100.0,230000.0,4622.0,1000.0,
crane1-2,8,101.0,231399.0,4622.0,1000.0,
crane1-2,8,102.0,231399.0,4622.0,1100.0,
crane1-2,8,103.0,231399.0,4622.0,1200.0,
crane1-2,8,104.0,231399.0,4622.0,1300.0,
crane1-2,8,105.0,231399.0,4622.0,1400.0,
crane1-2,8,106.0,231399.0,4622.0,1500.0,
