CraneNO,OrderNO,ControlMode,RecTime,CurX,CurY,CurZ,CurHasCoil,PlanUpX,PlanUpY,PlanUpZ,PlanDownX,PlanDownY,PlanDownZ,
1_2,999999,4,20200925150943,94168,22008,6011,1,999999,999999,999999,94192,22000,999999,
1_2,999999,4,20200925150944,94174,22008,6011,1,999999,999999,999999,94192,22000,999999,
1_2,999999,4,20200925150945,94174,22008,6011,1,999999,999999,999999,122500,999999,999999,
1_2,999999,4,20200925150946,94174,22008,6011,1,999999,999999,999999,122500,999999,999999,
1_2,999999,4,20200925150947,94182,22008,6011,1,999999,999999,999999,122500,999999,999999,
1_2,999999,4,20200925150948,94368,22008,6011,1,999999,999999,999999,122500,999999,999999,
1_2,999999,4,20200925150949,94906,22008,6011,1,999999,999999,999999,122500,999999,999999,
1_2,999999,4,20200925150950,95620,22008,6011,1,999999,999999,999999,122500,999999,999999,
1_2,999999,4,20200925150951,96600,22008,6011,1,999999,999999,999999,122500,999999,999999,
1_2,999999,4,20200925150952,97926,22008,6011,1,999999,999999,999999,122500,999999,999999,
1_2,999999,4,20200925150953,99396,22009,6011,1,999999,999999,999999,122500,999999,999999,
1_2,999999,4,20200925150954,100838,22009,6011,1,999999,999999,999999,122500,999999,999999,
1_2,999999,4,20200925150955,102502,22008,6011,1,999999,999999,999999,122500,999999,999999,
1_2,999999,4,20200925150956,103934,22008,6011,1,999999,999999,999999,122500,999999,999999,
1_2,999999,4,20200925150957,105384,22009,6011,1,999999,999999,999999,122500,999999,999999,
1_2,999999,4,20200925150958,107028,22009,6011,1,999999,999999,999999,122500,999999,999999,
1_2,999999,4,20200925150959,108504,22009,6011,1,999999,999999,999999,122500,999999,999999,
1_2,999999,4,20200925151000,110008,22009,6011,1,999999,999999,999999,122500,999999,999999,
1_2,999999,4,20200925151001,111612,22009,6011,1,999999,999999,999999,122500,999999,999999,
1_2,999999,4,20200925151002,113120,22009,6011,1,999999,999999,999999,122500,999999,999999,
1_2,999999,4,20200925151003,114568,22009,6011,1,999999,999999,999999,122500,999999,999999,
1_2,999999,4,20200925151004,116230,22011,6011,1,999999,999999,999999,122500,999999,999999,
1_2,999999,4,20200925151005,117638,22009,6011,1,999999,999999,999999,122500,999999,999999,
1_2,999999,4,20200925151006,118878,22009,6011,1,999999,999999,999999,122500,999999,999999,
1_2,999999,4,20200925151007,119970,22009,6011,1,999999,999999,999999,122500,999999,999999,
